==> all_avg_ratings.tsv <==
Electronics	5
PC	5
Camera	4.54545454545455
Office Products	4.5
Wireless	4.5
Music	4.43096767436989
Musical Instruments	4.4
Toys	4.36363636363636
Watches	4.33333333333333
Books	4.27650568276506
Video	4.27439368302313
Video Games	4.23076923076923
Video DVD	4.14445744106532
Kitchen	3.66666666666667
Home	3.6
Tools	3.33333333333333
Digital_Video_Download	2.8
Apparel	4.03351344453242
Automotive	4.24657682069293
Baby	4.16186218661817
Beauty	4.22455951096728
Books	4.20063925328941
Camera	4.16838792606711
Digital_Ebook_Purchase	4.30728055481287
Digital_Music_Purchase	4.71114973494395
Digital_Software	3.5393303553936
Digital_Video_Download	4.23315363881402
Digital_Video_Games	3.8673714020288
Electronics	4.09765319701738
Furniture	4.14094319399786
Gift Card	4.7372156580146
Grocery	4.35609858526471
Health & Personal Care	4.22764490909932
Major Appliances	3.85967307221114
Mobile_Apps	4.0089427980703
Mobile_Electronics	3.78308311203429
Musical Instruments	4.28977023269428
Music	4.61363785522084
Office Products	4.20917734601075
Outdoors	4.26367501723742
PC	4.10073297021048
Personal_Care_Appliances	3.98580951304937
Pet Products	4.17191731695884
Shoes	4.24542736792511
Software	3.79433945523911
Sports	4.26811259806184
Tools	4.30329427531376
Toys	4.25234866277748
Video DVD	4.51045918830167
Video Games	4.19428679085321
Video	4.35945654392256
Watches	4.14869588093806
Wireless	3.95958779171446
