==> all_avg_helpful.tsv <==
Office Products	30.125
Camera	25.5454545454545
Tools	22.3333333333333
Watches	21
Toys	18.6363636363636
Home	17.8
Video Games	13.3846153846154
PC	11
Books	7.29107089291071
Kitchen	7
Digital_Video_Download	6.6
Musical Instruments	5.8
Video DVD	4.71432427568832
Video	3.8761515322429
Music	3.40119039307408
Wireless	2.5
Electronics	1
Apparel	0.983958211881538
Automotive	1.03124522566659
Baby	1.6092884318223
Beauty	0.975618526411801
Books	8.85520716904916
Camera	1.13425823323434
Digital_Ebook_Purchase	0.996671559292625
Digital_Music_Purchase	0.194837924741462
Digital_Software	2.45444927706595
Digital_Video_Download	0.165468703204552
Digital_Video_Games	1.28185918278668
Electronics	0.775311041169388
Furniture	1.71080007565727
Gift Card	0.338640597169157
Grocery	0.712394026089924
Health & Personal Care	1.20391358652912
Major Appliances	2.61157198361861
Mobile_Apps	1.34692212267402
Mobile_Electronics	0.86656324770594
Musical Instruments	0.745686042334659
Music	0.478998490516506
Office Products	0.762616465799599
Outdoors	0.991457902397916
PC	0.700356398359223
Personal_Care_Appliances	3.27205965427635
Pet Products	0.867926778564957
Shoes	0.544152097624269
Software	1.18161653801792
Sports	0.684062591769098
Tools	0.621710705036492
Toys	0.680184104856429
Video DVD	0.607358624067926
Video Games	0.532345806937805
Video	0.725239802909706
Watches	0.60836966325917
Wireless	0.541399477217594
